order_id,product_name,category,brand,color,size,gender,material,season,unit_price,discount,quantity,total_sales,order_date,shipping_date,region,payment_method,order_status,customer_rating,return_reason,invalid_price_flag,invalid_quantity_flag,calculated_Revenue,year,month,day,invalid_date_flag
ORD-33477,Hoodie,Hoodie,Uniqlo,Brown,Extra Small,Male,Silk,Summer,23.96,0.36,18.0,276.02,2024-06-13,2024-06-21,Doha,Online,Cancelled,2.4,,False,False,430.64000000000004,2024.0,6.0,Thursday,False
ORD-93931,Jacket,Jacket,H&M,Brown,Extra Extra Large,Male,Nylon,Winter,166.89,0.32,19.0,,2023-09-14,2023-09-18,Amman,Debit Card,Delivered,2.9,Defective,False,False,3170.23,2023.0,9.0,Thursday,False
ORD-28582,Hoodie,Hoodie,Forever21,Red,Extra Small,Kids,Denim,Autumn,110.4,0.13,4.0,384.19,2024-12-30,2025-01-01,Cairo,Credit Card,Pending,2.6,,False,False,440.73,2024.0,12.0,Monday,False
ORD-44084,Dress,Dress,Adidas,Blue,Medium,Unisex,Linen,Summer,20.82,0.48,12.0,-129.92,2024-07-02,2024-07-14,Dubai,Installment,Pending,4.8,Defective,False,False,249.32,2024.0,7.0,Tuesday,False
ORD-76192,Blazer,Blazer,Levi'S,Blue,Small,Female,Nylon,Spring,310.14,0.42,15.0,2698.22,2023-08-10,2024-10-05,Dubai,Debit Card,Processing,2.8,,False,False,4651.5199999999995,2023.0,8.0,Thursday,False
ORD-99977,Blazer,Blazer,Gucci,Black,Extra Large,Female,Nylon,,337.42,0.06,6.0,1903.05,2022-01-09,2022-01-16,Casablanca,Debit Card,Delivered,2.3,,False,False,2023.58,2022.0,1.0,Sunday,False
ORD-65884,Jeans,Jeans,Zara,Purple,Extra Small,Kids,Wool,Spring,113.48,0.49,8.0,463.0,2023-07-21,2023-07-25,Riyadh,Credit Card,Pending,2.0,,False,False,907.33,2023.0,7.0,Friday,False
ORD-31594,Coat,Coat,Levi'S,Brown,Extra Extra Large,Kids,Linen,Winter,190.1,0.33,18.0,2292.61,2022-07-22,2022-12-01,Dubai,Installment,Returned,3.7,,False,False,3421.1299999999997,,,,False
ORD-95981,Jeans,Jeans,Uniqlo,White,Medium,Male,Nylon,Winter,209.19,0.13,12.0,2183.94,2023-10-24,2024-10-05,Dubai,Online,Delivered,2.3,,False,False,2509.41,2023.0,10.0,Tuesday,False
ORD-99276,Dress,Dress,Puma,Green,Extra Extra Large,Kids,Denim,Summer,421.63,0.28,13.0,3891.64,2022-04-07,2022-04-20,Doha,Cash,Processing,5.0,Defective,False,False,5480.469999999999,2022.0,4.0,Thursday,False
ORD-85555,Hoodie,Hoodie,Gucci,Yellow,Extra Small,Female,Linen,Winter,137.24,0.09,4.0,499.55,2023-05-17,2023-05-20,Casablanca,Online,Pending,5.0,Late Delivery,False,False,548.0500000000001,2023.0,5.0,Wednesday,False
ORD-75507,Blazer,Blazer,Levi'S,Grey,Medium,Unisex,Nylon,Autumn,453.61,0.25,10.0,3402.07,2023-05-28,2023-06-04,Tunis,Installment,Delivered,2.3,Changed Mind,False,False,4535.35,2023.0,5.0,Sunday,False
ORD-52759,Sweater,Sweater,Puma,Blue,Small,Kids,Cotton,Summer,169.61,0.41,7.0,700.49,2023-09-29,2023-10-10,Amman,Debit Card,Delivered,0.0,Wrong Size,False,False,1186.68,2023.0,9.0,Friday,False
ORD-26128,Dress,Dress,Nike,White,Small,Unisex,Wool,Autumn,31.02,0.34,3.0,-61.42,2022-07-22,2024-06-27,Doha,Installment,Processing,3.2,Late Delivery,False,False,92.4,,,,False
ORD-96308,T-Shirt,T-Shirt,Zara,Brown,Medium,Male,Wool,Spring,185.25,0.17,20.0,3075.15,2024-08-15,2024-10-05,Doha,Credit Card,Processing,1.6,,False,False,3704.17,2024.0,8.0,Thursday,False
ORD-17011,Blazer,Blazer,Nike,Red,Large,Unisex,Linen,Spring,412.65,0.1,14.0,5199.39,2022-10-21,2024-10-05,Doha,Debit Card,Processing,1.8,,False,False,5776.2,2022.0,10.0,Friday,False
ORD-59175,T-Shirt,T-Shirt,Gucci,Grey,Extra Extra Large,Kids,Polyester,Autumn,478.53,0.26,9.0,3187.01,2022-04-15,2022-04-22,Riyadh,Online,Processing,1.8,,False,False,4306.03,2022.0,4.0,Friday,False
ORD-89895,Shorts,Shorts,Mango,Green,Extra Small,Female,Silk,Winter,114.0,0.2,4.0,-365.92,2023-09-11,2023-09-19,Riyadh,Cash,Processing,3.6,,False,False,455.2,2023.0,9.0,Monday,False
ORD-51864,T-Shirt,T-Shirt,Levi'S,White,Extra Extra Large,Unisex,Linen,Spring,263.02,0.48,5.0,683.85,2024-04-20,2024-05-03,Alexandria,Credit Card,Returned,4.4,,False,False,1314.58,2024.0,4.0,Saturday,False
ORD-68904,Jeans,Jeans,Mango,White,Extra Small,Unisex,Wool,Autumn,143.01,0.41,15.0,1265.64,2023-01-11,2023-11-13,Casablanca,Cash,Cancelled,4.1,,False,False,2144.5599999999995,2023.0,1.0,Wednesday,False
ORD-50761,Skirt,Skirt,Mango,Red,Extra Large,Kids,Silk,Summer,420.63,0.0,15.0,4984.47,2023-01-01,2023-01-13,Kuwait,Debit Card,Delivered,2.3,Changed Mind,False,False,6308.45,2023.0,1.0,Sunday,False
ORD-34342,Shorts,Shorts,Gucci,Brown,Extra Extra Large,Female,Nylon,Spring,444.68,0.28,7.0,,2022-04-09,2022-04-22,Cairo,Debit Card,Processing,2.5,,False,False,3112.0400000000004,2022.0,4.0,Saturday,False
ORD-23523,Shorts,Shorts,H&M,Blue,Extra Large,Unisex,Wool,Winter,467.38,0.0,5.0,2056.47,2023-08-12,2024-10-05,Tunis,Credit Card,Processing,1.8,Defective,False,False,2335.9,2023.0,8.0,Saturday,False
ORD-23413,T-Shirt,T-Shirt,Zara,Yellow,Extra Extra Large,Female,Nylon,Spring,143.96,0.16,8.0,967.41,2022-12-27,2024-10-05,Kuwait,Installment,Pending,5.0,,False,False,1150.8400000000001,2022.0,12.0,Tuesday,False
ORD-58271,Dress,Dress,H&M,Grey,Extra Large,Male,Leather,Summer,188.15,0.1,10.0,,2024-05-28,2024-06-01,Amman,Installment,Returned,1.2,,False,False,1880.6,2024.0,5.0,Tuesday,False
ORD-45496,Hoodie,Hoodie,Uniqlo,Pink,Medium,Male,Silk,Winter,259.77,0.2,17.0,3532.87,2023-05-22,2023-05-26,Kuwait,Credit Card,Processing,2.4,,False,False,4415.29,2023.0,5.0,Monday,False
ORD-81921,Sweater,Sweater,Uniqlo,UnKnown,Medium,Male,Wool,,67.62,0.1,13.0,,2024-05-16,2024-05-21,Tunis,Installment,Cancelled,3.6,,False,False,878.1600000000001,2024.0,5.0,Thursday,False
ORD-99557,Dress,Dress,H&M,White,Extra Extra Large,Kids,Silk,Summer,216.95,0.38,18.0,2421.16,2024-06-16,2024-06-24,Doha,Installment,Pending,2.2,,False,False,3904.48,2024.0,6.0,Sunday,False
ORD-18530,Jacket,Jacket,Levi'S,White,Large,Unisex,Nylon,Summer,64.07,0.42,8.0,297.28,2022-11-01,2022-12-11,Amman,Cash,Returned,2.6,Late Delivery,False,False,511.97999999999996,2022.0,11.0,Tuesday,False
