order_id,product_name,category,brand,color,size,gender,material,season,unit_price,discount,quantity,total_sales,order_date,shipping_date,region,payment_method,order_status,customer_rating,return_reason
ORD-33477,Huddie,Hoodie,Uniqlo,Brown,XS,Men,Silk,Summer,23.96,36%,18,276.02,13/06/2024,2024-06-21,Doha,Online,Cancelled,2.4,
ORD-93931,Jacket Brown,Jacket,H&M,Brown,XXL,MEN,Nylon,Winter,166.89,32%,19,,2023-09-14,18-09-2023,Amman,Debit Card,Delivered,2.9,Defective
ORD-28582,Hoodie Red,Hoodie,Forever21,Red,XS,Kids,Denim,Autumn,110.40 USD,13%,4,EGP 384.19,"December 30, 2024","January 01, 2025",Cairo,Credit Card,Pending,2.6,
ORD-44084,Dress Blue,Dress,Adidas,Blue,M,Unisex,Linen,Summer,20.82,48%,12,-129.92,2024/07/02,"July 14, 2024",Dubai,Installment,Pending,4.8,Defective
ORD-76192,Blazer,Blazer,Levi's,Blue,s,women,Nylon,Spring,310.14,42%,15,2698.22,2023-08-10,,Dubai,Debit Card,Processing,2.8,
ORD-99977,Blazer Black,Blazer,Gucci,Black,XL,Women,Nylon,N/A,337.42,0.06,6,1903.05 USD,2022-01-09,16-01-2022,Casablanca,Debit Card,Delivered,2.3,
ORD-65884,Jeans Purple,JEANS,Zara,Purple,xs,Children,Wool,Spring,$113.48,49%,8,463.00 USD,07-21-2023,"July 25, 2023",riyadh,Credit Card,Pending,2.0,
ORD-79008,Dress Yellow,Dress,H&M,Yellow,M,Men,Cotton,Spring,77.71,41%,,641.88,,"July 12, 2023",Beirut,Installment,Returned,2.7,
ORD-31594,Coat Brown,Coat,Levi's,Brown,XX-L,Kids,Linen,Winter,190.10,33%,18,2292.61,,2022/12/01,Dubay,Installment,Returned,3.7,
ORD-95981,JEANS,Jeans,Uniqlo,White,M,Men,Nylon,Winter,209.19,13%,12,2183.94,2023-10-24,,Dubay,Online,Delivered,2.3,
ORD-67912,Sweater Pink,Sweater,Uniqlo,Pink,2XL,Men,Linen,Summer,464.10,17%,18,6933.65,"March 25, 2023",03-04-2023,Riyadh,Cash,Delivered,2.7,Changed mind
ORD-99276,Dress Green,Dresses,Puma,Green,2XL,Kids,Denim,Summer,421.63,28%,13,3891.64,04-07-2022,"April 20, 2022",Doha,Cash,Processing,6,Defective
ORD-85555,Hoodie,Hoodie,Gucci,Yellow,XS,  Women  ,Linen,Winter,137.24 USD,9%,4,$499.55,"May 17, 2023",20-05-2023,Casablanca,Online,Pending,9,Late delivery
ORD-75507,Blazer Grey,blazer,Levi's,Grey,MEDIUM,Unisex,Nylon,Autumn,$453.61,0.25,10,3402.07,28-05-2023,2023/06/04,  Tunis  ,Installment,Delivered,2.3,Changed mind
ORD-52759,Sweater,Sweater,Puma,Blue,S,Kids,Cotton,Summer,EGP 169.61,41%,7,700.49,09-29-2023,2023/10/10,عمان,Debit Card,Delivered,,Wrong size
ORD-26128,Dress White,Dress,Nike,White,sm,Unisex,Wool,Autumn,31.02,34%,3,-61.42,,2024-06-27,Doha,Installment,Processing,3.2,Late delivery
